LOCATION,CODE
83 Rd. Booster,83RB
83rd Zone Lift Station,83LS
A19 Lift Station,A19L
Acono River WTP,WRTP
Acono Well 1,ACO1
AIL Factory WWTP,AILP
Alleyne Road Booster,ALNB
Allison Park STP ,APTP
Arena Reservoir,ARER
Ariapita B Booster,ARBB
Ariapita BP Tank,ABPR
Ariapita Intake,ARII
Ariapita Reservoir,ARIR
Arima Lift Station,MALA-ALS
Arima Well 1,ARI1
Arima Well 12,ARI12
Arima Well 13,ARI13
Arima Well 14,ARI14
Arima Well 2,ARI2
Arima Well 6,ARI6
Arima WWTP,ARST
Aripo New WTP,ANTP
Aripo Spring Intake,ARSI
Arnos Vale Well 1,AV01
Arnos Vale Well 2,AV02
Arouca High Lift Booster,AHLB
Arouca Reservoir,AWRR
Arouca Well 1,AR01
Arouca Well 4,AR04
Arouca Well 6,AR06
Arouca Well 7,AR07
Arouca Well 8,AR08
Arouca Well 10,AR10
"Arouca Wells 2,3,4,5",AR25
Arthur's By the Sea STP,ABSP
Atagual Intake 1,ATI1
Atagual Intake 2,ATI2
Bacolet Well 1,BC01
Bad Hill Reservoir,BHLR
Bagatelle Booster,BAGB
Bagatell Lift Station,BAGLS
Balmain Gardens STP ,BGTP
Bamboo 3 WWTP ,BAMB
Barrackpore Well #3,BRW03
Basta Hall Reservoir,BAHR
BB1 Lift Station,BB1L
Beaumont Booster Station,BEAB
Beetham Lift Station,BELS
Beetham WWTP,BEST
Belle View Booster,BVBS
Belmont Well,BM01
Bennett Village Booster,BENB
Bennett Village Reservoir,BNVR
Biche Booster Station,BICB
Biche WTP,BICP
Blanchisseuse-Damier Intake,BDIN
Blenheim Village STP,BVTP
Bloody Bay Booster 1,BBB1
Bloody Bay Booster 2,BBB2
Bloody Bay Lift Station,BBLS
Bloody Bay Reservoir,BBYR
Bloody Bay Well 1,BB01
Bloody Bay Well 2,BB02
Blue Haven Hotel STP,BHHP
Bon Accord Well 1,BA01
Bon Accord Well 2,BA02
Bon Air Lift Station,BALS
Bon Air West WWTP,BAWP
Bon Air WWTP,BAST
Boodoosingh Booster,BDSB
Boodram STP ,BSTP
Boundary Road Lift Station,BRLS
Brasso Seco Paria Intake,BSPI
Bregon Park STP ,BPST
Brieves Road Booster,BRDB
Buccoo STP,BUTP
Buen Intento WWTP ,BITP
Buenos Ayres Reservoir,BAYR
Butler Reservoir,BUTR
C24 Lift Station,C24L
Caiman Booster,CMBS
California Booster,CABS
California Reservoir,CALR
California Well 3,CA03
Calvary Booster Station,
Calvary Hill Booster,CALB
Calvary Hill New Reservoir,CHNR
Calvary Hill Old Reservoir,CHOR
Cambleton Well,CM01
Cameron Reservoir,CAMR
Camp Cumoto STP,CUMO
Canaan Health Care Centre STP,CHCC
Cantaro WWTP,CANT
Cap de Ville Booster,CDVB
Cap de Ville GWTP,CDVP
Cap de Ville Well 1,CV01
Cap de Ville Well 4,CV04
Caparo Well 2,CP02
Caparo Well 3,CP03
Cap-de-Ville Reservoir 1,CDV1
Cap-de-Ville Reservoir 2,CDV2
Capriata Intake,CAPI
Carapal Well 1,CRP01
